"Year","County","Ag.District","CATTLE..COWS..BEEF...INVENTORY","CATTLE..COWS..MILK...INVENTORY","Turkeys","CPI","CORN..GRAIN...YIELD..MEASURED.IN.BU...ACRE","CORN..SILAGE...YIELD..MEASURED.IN.TONS...ACRE","SOYBEANS...YIELD..MEASURED.IN.BU...ACRE","SUGARBEETS...YIELD..MEASURED.IN.TONS...ACRE","Urea..46.0.0.","Potash..0.0.60.","Monammonium.Phosphate..MAP...11.52.0.","Diammonium.Phosphate..DAP...18.46.0.","Ammonia..82.0.0.","Estimated.Value.Per.Acre","Hogs","Feed_cows","Dairy_cows_total_poop_lb","Dairy_cows_total_N","Dairy_cows_total_P","Dairy_cows_total_K","Beef_cows_total_poop_lb","Beef_cows_total_N","Beef_cows_total_P","Beef_cows_total_K","feed_cows_total_poop_lb","feed_cows_total_N","feed_cows_total_P","feed_cows_total_K","Hogs_total_poop_lb","Hogs_total_N","Hogs_total_P","Hogs_total_K"
2012,"olmsted","SOUTHEAST",8900,8500,NA,71,184.8,NA,52.8,NA,9232,11692,3296,2601,4030,4594,45300,9052,474300000,3090600,1591200,1744200,173016000,1281600,1281600,1281600,175970880,1303488,1303488,1303488,241358400,2772360,97848,1467720
2012,"wabasha","SOUTHEAST",6900,20500,22,60,187.4,22.5,54.6,NA,2565,5837,0,2285,2924,4150,8851,6849,1143900000,7453800,3837600,4206600,134136000,993600,993600,993600,133144560,986256,986256,986256,47158128,541681.2,19118.16,286772.4
2012,"winona","SOUTHEAST",8500,29500,NA,49,177.5,21,53.1,NA,3827,4810,0,1391,1768,3989,36935,7881,1646100000,10726200,5522400,6053400,165240000,1224000,1224000,1224000,153206640,1134864,1134864,1134864,196789680,2260422,79779.6,1196694
2012,"cottonwood","SOUTHWEST",2600,1200,224209,87,156.7,20.5,44.4,NA,10644,11173,1894,12083,5565,5564,235636,15004,66960000,436320,224640,246240,50544000,374400,374400,374400,291677760,2160576,2160576,2160576,1255468608,14420923.2,508973.76,7634606.4
2012,"jackson","SOUTHWEST",2400,500,28,87,177.2,NA,48,NA,2744,7624,220,8174,5317,5969,245947,6247,27900000,181800,93600,102600,46656000,345600,345600,345600,121441680,899568,899568,899568,1310405616,15051956.4,531245.52,7968682.8
2012,"lincoln","SOUTHWEST",5200,2900,NA,84,143.8,NA,40.2,NA,6977,2295,91,3571,365,3940,93371,7171,161820000,1054440,542880,595080,101088000,748800,748800,748800,139404240,1032624,1032624,1032624,497480688,5714305.2,201681.36,3025220.4
2012,"lyon","SOUTHWEST",4600,1800,643333,84,152.6,NA,42.5,NA,20081,6443,619,10205,1521,5209,158742,32155,100440000,654480,336960,369360,89424000,662400,662400,662400,625093200,4630320,4630320,4630320,845777376,9715010.4,342882.72,5143240.8
2012,"murray","SOUTHWEST",5700,4600,NA,86,150.7,NA,45.7,NA,12859,7284,131,9935,1719,4915,140599,20163,256680000,1672560,861120,943920,110808000,820800,820800,820800,391968720,2903472,2903472,2903472,749111472,8604658.8,303693.84,4555407.6
2012,"nobles","SOUTHWEST",3500,5100,NA,90,155.5,NA,47.1,NA,6584,10468,6411,2138,6237,5876,323679,38434,284580000,1854360,954720,1046520,68040000,504000,504000,504000,747156960,5534496,5534496,5534496,1724561712,19809154.8,699146.64,10487199.6
2012,"pipestone","SOUTHWEST",7600,4700,NA,83,143.6,NA,40.9,NA,8877,4139,988,4266,1069,4687,267097,18215,262260000,1708920,879840,964440,147744000,1094400,1094400,1094400,354099600,2622960,2622960,2622960,1423092816,16346336.4,576929.52,8653942.8
2012,"redwood","SOUTHWEST",4500,1900,336506,85,164.1,NA,45.5,NA,19989,14638,0,20397,8373,5845,179776,15606,106020000,690840,355680,389880,87480000,648000,648000,648000,303380640,2247264,2247264,2247264,957846528,11002291.2,388316.16,5824742.4
2012,"rock","SOUTHWEST",6500,3000,102,85,156.8,NA,46,NA,10054,6204,2087,5409,5219,6463,291435,36821,167400000,1090800,561600,615600,126360000,936000,936000,936000,715800240,5302224,5302224,5302224,1552765680,17835822,629499.6,9442494
2012,"big stone","WEST CENTRAL",1600,800,NA,78,162.9,NA,44.1,NA,7139,2422,673,2700,1065,3282,41005,937,44640000,290880,149760,164160,31104000,230400,230400,230400,18215280,134928,134928,134928,218474640,2509506,88570.8,1328562
2012,"chippewa","WEST CENTRAL",NA,NA,NA,87,179.5,23.5,47.6,25.1,16290,5141,2035,8509,3774,5042,50200,3710,NA,NA,NA,NA,NA,NA,NA,NA,72122400,534240,534240,534240,267465600,3072240,108432,1626480
2012,"douglas","WEST CENTRAL",4000,5700,9,67,166.4,NA,41,NA,3991,2657,78,2380,1304,2117,1198,6851,318060000,2072520,1067040,1169640,77760000,576000,576000,576000,133183440,986544,986544,986544,6382944,73317.6,2587.68,38815.2
2012,"grant","WEST CENTRAL",400,1500,NA,81,183,NA,44.7,26.6,22024,6377,1035,12267,2436,2804,23320,1478,83700000,545400,280800,307800,7776000,57600,57600,57600,28732320,212832,212832,212832,124248960,1427184,50371.2,755568
2012,"lac qui parle","WEST CENTRAL",5000,1000,NA,82,149.5,NA,43.3,NA,14133,6618,2.354,7531,2793,3523,97508,4507,55800000,363600,187200,205200,97200000,720000,720000,720000,87616080,649008,649008,649008,519522624,5967489.6,210617.28,3159259.2
2012,"otter tail","WEST CENTRAL",16600,21500,1505819,56,150.1,NA,38.7,24.6,12398,11551,228,7149,1854,1857,35547,8092,1199700000,7817400,4024800,4411800,322704000,2390400,2390400,2390400,157308480,1165248,1165248,1165248,189394416,2175476.4,76781.52,1151722.8
2012,"pope","WEST CENTRAL",4600,5200,NA,65,174.9,NA,46,27.3,2993,3607,275,2206,2758,2742,76913,3674,290160000,1890720,973440,1067040,89424000,662400,662400,662400,71422560,529056,529056,529056,409792464,4707075.6,166132.08,2491981.2
2012,"stevens","WEST CENTRAL",2400,18100,NA,83,186.3,22.5,47.2,30,11851,5295,1758,8214,5695,3678,186865,11844,1009980000,6581160,3388320,3714120,46656000,345600,345600,345600,230247360,1705536,1705536,1705536,995616720,11436138,403628.4,6054426
2012,"swift","WEST CENTRAL",2400,4500,1942920,77,182.8,23.5,46.9,26.8,10424,10193,4603,9023,8169,3876,13116,3871,251100000,1636200,842400,923400,46656000,345600,345600,345600,75252240,557424,557424,557424,69882048,802699.2,28330.56,424958.4
2012,"traverse","WEST CENTRAL",NA,NA,NA,87,181.9,NA,48.2,27.3,14458,2779,3179,4628,85,3602,16966,1863,NA,NA,NA,NA,NA,NA,NA,NA,36216720,268272,268272,268272,90394848,1038319.2,36646.56,549698.4
2012,"wilkin","WEST CENTRAL",1000,200,NA,84,166.2,NA,41.7,25.9,24864,5243,4419,6030,1024,2937,48,238,11160000,72720,37440,41040,19440000,144000,144000,144000,4626720,34272,34272,34272,255744,2937.6,103.68,1555.2
2012,"yellow medicine","WEST CENTRAL",3200,2900,203028,84,146.5,NA,41.4,24.9,19496,11091,1466,16798,7908,4863,120257,10879,161820000,1054440,542880,595080,62208000,460800,460800,460800,211487760,1566576,1566576,1566576,640729296,7359728.4,259755.12,3896326.8
2013,"benton","CENTRAL",4700,11200,NA,57,94.7,NA,25.5,NA,25,54,0,0,1000,3033,23865,4359,624960000,4072320,2096640,2298240,91368000,676800,676800,676800,84738960,627696,627696,627696,127152720,1460538,51548.4,773226
2013,"carver","CENTRAL",1500,8000,NA,78,153.6,18,41.7,NA,3296,3865,0,2692,2046,7734,29567,2941,446400000,2908800,1497600,1641600,29160000,216000,216000,216000,57173040,423504,423504,423504,157532976,1809500.4,63864.72,957970.8
2013,"kandiyohi","CENTRAL",2700,6600,NA,77,168.8,NA,47.1,29.9,9574,8165,842,9532,8789,5543,86583,2493,368280000,2399760,1235520,1354320,52488000,388800,388800,388800,48463920,358992,358992,358992,461314224,5298879.6,187019.28,2805289.2
2013,"mcleod","CENTRAL",2000,8000,NA,83,161.2,13,43.3,25.1,8067,6491,585,7209,3347,6372,9308,6055,446400000,2908800,1497600,1641600,38880000,288000,288000,288000,117709200,871920,871920,871920,49593024,569649.6,20105.28,301579.2
2013,"meeker","CENTRAL",2700,9600,NA,72,154.4,NA,43.7,33.3,11729,12524,624,6843,8199,4962,14522,7035,535680000,3490560,1797120,1969920,52488000,388800,388800,388800,136760400,1013040,1013040,1013040,77373216,888746.4,31367.52,470512.8
2013,"morrison","CENTRAL",16000,28500,NA,49,87.4,13,21.1,NA,4887,4470,23,1283,950,2725,77871,8466,1590300000,10362600,5335200,5848200,311040000,2304000,2304000,2304000,164579040,1219104,1219104,1219104,414896688,4765705.2,168201.36,2523020.4
2013,"renville","CENTRAL",2000,2400,NA,87,173.4,NA,49.3,29.3,14821,9393,4,14093,8726,8962,280943,16654,133920000,872640,449280,492480,38880000,288000,288000,288000,323753760,2398176,2398176,2398176,1496864304,17193711.6,606836.88,9102553.2
2013,"scott","CENTRAL",1700,5400,NA,36,163.4,17.5,41.3,NA,646,1193,0,732,954,8108,15487,5085,301320000,1963440,1010880,1108080,33048000,244800,244800,244800,98852400,732240,732240,732240,82514736,947804.4,33451.92,501778.8
2013,"sherburne","CENTRAL",700,700,NA,87,132.3,17.5,29.8,NA,4737,4616,6,1216,886,3984,8635,6280,39060000,254520,131040,143640,13608000,100800,100800,100800,122083200,904320,904320,904320,46007280,528462,18651.6,279774
2013,"sibley","CENTRAL",2700,8600,NA,22,160.9,NA,47,27.3,18285,15826,24,17765,3951,7439,105238,9901,479880000,3126960,1609920,1764720,52488000,388800,388800,388800,192475440,1425744,1425744,1425744,560708064,6440565.6,227314.08,3409711.2
2013,"stearns","CENTRAL",13300,71000,NA,62,133.5,14,31.9,29.1,17809,11663,4442,4919,3841,3683,109402,40914,3961800000,25815600,13291200,14569200,258552000,1915200,1915200,1915200,795368160,5891616,5891616,5891616,582893856,6695402.4,236308.32,3544624.8
2013,"todd","CENTRAL",11500,16600,NA,54,94.5,NA,23.5,NA,3394,3147,0,575,0,1719,13771,4678,926280000,6035760,3107520,3406320,223560000,1656000,1656000,1656000,90940320,673632,673632,673632,73371888,842785.2,29745.36,446180.4
2013,"wadena","CENTRAL",4600,3300,NA,38,111.1,10,33.8,NA,3347,4130,10,987,0,1597,6202,186,184140000,1199880,617760,677160,89424000,662400,662400,662400,3615840,26784,26784,26784,33044256,379562.4,13396.32,200944.8
2013,"wright","CENTRAL",4000,9500,NA,66,129.7,NA,36.1,NA,6410,8448,0,4995,2573,5681,4819,9373,530100000,3454200,1778400,1949400,77760000,576000,576000,576000,182211120,1349712,1349712,1349712,25675632,294922.8,10409.04,156135.6
2013,"aitkin","EAST CENTRAL",4800,300,NA,37,74.2,NA,NA,NA,750,631,227,0,0,1022,48,52,16740000,109080,56160,61560,93312000,691200,691200,691200,1010880,7488,7488,7488,255744,2937.6,103.68,1555.2
2013,"anoka","EAST CENTRAL",700,200,NA,32,104.9,NA,22,NA,1,1,0,0,0,7215,170,273,11160000,72720,37440,41040,13608000,100800,100800,100800,5307120,39312,39312,39312,905760,10404,367.2,5508
2013,"carlton","EAST CENTRAL",4400,1200,NA,40,156.1,9.8,NA,NA,230,147,0,30,0,1249,118,119,66960000,436320,224640,246240,85536000,633600,633600,633600,2313360,17136,17136,17136,628704,7221.6,254.88,3823.2
2013,"chisago","EAST CENTRAL",2600,1700,NA,48,125.3,NA,24.2,NA,5289,5948,0,2018,346,2681,563,458,94860000,618120,318240,348840,50544000,374400,374400,374400,8903520,65952,65952,65952,2999664,34455.6,1216.08,18241.2
2013,"crow wing","EAST CENTRAL",4500,900,NA,36,NA,6.6,NA,NA,4,0,1,0,0,1867,267,2421.25,50220000,327240,168480,184680,87480000,648000,648000,648000,47069100,348660,348660,348660,1422576,16340.4,576.72,8650.8
2013,"hennepin","EAST CENTRAL",1000,1700,NA,47,154.7,NA,35.2,NA,57,6,6,0,55,18810,86,3201,94860000,618120,318240,348840,19440000,144000,144000,144000,62227440,460944,460944,460944,458208,5263.2,185.76,2786.4
2013,"isanti","EAST CENTRAL",2400,1600,NA,42,112.1,NA,25.4,NA,2181,2578,0,965,0,2956,2771,1132,89280000,581760,299520,328320,46656000,345600,345600,345600,22006080,163008,163008,163008,14763888,169585.2,5985.36,89780.4
2013,"mille lacs","EAST CENTRAL",3700,2400,NA,53,105.7,9.7,27.7,NA,2216,2022,0,633,514,2310,462,474,133920000,872640,449280,492480,71928000,532800,532800,532800,9214560,68256,68256,68256,2461536,28274.4,997.92,14968.8
2013,"pine","EAST CENTRAL",8700,4600,NA,42,125.5,11.5,28.2,NA,618,892,0,191,0,1520,265,1719,256680000,1672560,861120,943920,169128000,1252800,1252800,1252800,33417360,247536,247536,247536,1411920,16218,572.4,8586
2013,"washington","EAST CENTRAL",2000,1300,NA,48,129,8.5,26.2,NA,1477,2228,4,1299,1079,11820,184,457,72540000,472680,243360,266760,38880000,288000,288000,288000,8884080,65808,65808,65808,980352,11260.8,397.44,5961.6
2013,"beltrami","NORTH CENTRAL",8700,500,NA,36,126.7,NA,NA,NA,2136,1970,67,1177,0,841,209,307,27900000,181800,93600,102600,169128000,1252800,1252800,1252800,5968080,44208,44208,44208,1113552,12790.8,451.44,6771.6
2013,"hubbard","NORTH CENTRAL",3200,400,NA,41,146.2,NA,NA,NA,2292,1349,10,0,0,2225,16,1003,22320000,145440,74880,82080,62208000,460800,460800,460800,19498320,144432,144432,144432,85248,979.2,34.56,518.4
2013,"koochiching","NORTH CENTRAL",NA,300,NA,32,143,NA,NA,NA,0,0,0,0,0,691,15,307,16740000,109080,56160,61560,NA,NA,NA,NA,5968080,44208,44208,44208,79920,918,32.4,486
2013,"becker","NORTHWEST",7000,8000,NA,53,128.1,14.5,34.8,25.8,8912,3035,3888,105,0,2649,18705,2531,446400000,2908800,1497600,1641600,136080000,1008000,1008000,1008000,49202640,364464,364464,364464,99660240,1144746,40402.8,606042
2013,"clay","NORTHWEST",4400,700,NA,76,138.2,NA,36.1,25.6,45123,13316,14536,277,2240,3764,32825,1219,39060000,254520,131040,143640,85536000,633600,633600,633600,23697360,175536,175536,175536,174891600,2008890,70902,1063530
2013,"clearwater","NORTHWEST",8900,1000,NA,47,NA,NA,27.8,NA,555,985,282,0,49,829,538,959.8,55800000,363600,187200,205200,173016000,1281600,1281600,1281600,18658512,138211.2,138211.2,138211.2,2866464,32925.6,1162.08,17431.2
2013,"kittson","NORTHWEST",NA,NA,NA,60,NA,19.5,40.1,25.2,19991,2572,3968,0,950,1685,6635.5,640,NA,NA,NA,NA,NA,NA,NA,NA,12441600,92160,92160,92160,35353944,406092.6,14332.68,214990.2
2013,"mahnomen","NORTHWEST",NA,800,NA,69,131.8,18,34.3,22.6,3229,1352,572,27,0,2162,243,1326,44640000,290880,149760,164160,NA,NA,NA,NA,25777440,190944,190944,190944,1294704,14871.6,524.88,7873.2
2013,"marshall","NORTHWEST",4400,300,NA,70,130.8,NA,35.5,24.1,31676,5764,14097,708,7988,2140,62,265,16740000,109080,56160,61560,85536000,633600,633600,633600,5151600,38160,38160,38160,330336,3794.4,133.92,2008.8
2013,"norman","NORTHWEST",1900,400,NA,79,119.9,NA,32.8,25.9,20223,5312,7088,189,505,2805,7070,755,22320000,145440,74880,82080,36936000,273600,273600,273600,14677200,108720,108720,108720,37668960,432684,15271.2,229068
2013,"pennington","NORTHWEST",3700,100,NA,72,NA,NA,33.1,NA,8127,6563,6141,399,2780,1263,654.5,146,5580000,36360,18720,20520,71928000,532800,532800,532800,2838240,21024,21024,21024,3487176,40055.4,1413.72,21205.8
2013,"polk","NORTHWEST",6000,1100,NA,77,120.4,NA,36.6,26,24633,7007,10809,4,10233,2561,17637,507,61380000,399960,205920,225720,116640000,864000,864000,864000,9856080,73008,73008,73008,93969936,1079384.4,38095.92,571438.8
2013,"red lake","NORTHWEST",3200,800,NA,73,121.6,18.5,32.4,NA,5826,4178,1660,1585,1622,1219,1862,1310,44640000,290880,149760,164160,62208000,460800,460800,460800,25466400,188640,188640,188640,9920736,113954.4,4021.92,60328.8
2013,"roseau","NORTHWEST",7200,1500,NA,52,139,16.5,35.5,NA,14884,6886,6300,0,1543,881,8529,667,83700000,545400,280800,307800,139968000,1036800,1036800,1036800,12966480,96048,96048,96048,45442512,521974.8,18422.64,276339.6
2013,"blue earth","SOUTH CENTRAL",1600,700,NA,80,185.2,11,49.4,NA,10013,7420,3646,301,5055,8080,554230,4014,39060000,254520,131040,143640,31104000,230400,230400,230400,78032160,578016,578016,578016,2952937440,33918876,1197136.8,17957052
2013,"brown","SOUTH CENTRAL",2400,4900,NA,82,170.8,NA,47.1,NA,29737,26045,649,31169,9446,7498,218163,20570,273420000,1781640,917280,1005480,46656000,345600,345600,345600,399880800,2962080,2962080,2962080,1162372464,13351575.6,471232.08,7068481.2
2013,"faribault","SOUTH CENTRAL",1700,1600,NA,87,176,18.5,45.3,NA,3252,15835,11005,1142,12312,7729,249759,4584,89280000,581760,299520,328320,33048000,244800,244800,244800,89112960,660096,660096,660096,1330715952,15285250.8,539479.44,8092191.6
2013,"freeborn","SOUTH CENTRAL",2600,900,NA,84,157.8,NA,42.8,NA,19352,48074,18968,13462,25387,7324,324837,8837,50220000,327240,168480,184680,50544000,374400,374400,374400,171791280,1272528,1272528,1272528,1730731536,19880024.4,701647.92,10524718.8
2013,"le sueur","SOUTH CENTRAL",1800,3600,NA,78,164.2,NA,44.8,NA,800,1441,0,919,1337,6777,135687,8273,200880000,1308960,673920,738720,34992000,259200,259200,259200,160827120,1191312,1191312,1191312,722940336,8304044.4,293083.92,4396258.8
2013,"martin","SOUTH CENTRAL",1600,600,NA,87,187.8,NA,50.5,NA,509,3974,2833,839,4788,8695,812229,6093,33480000,218160,112320,123120,31104000,230400,230400,230400,118447920,877392,877392,877392,4327556112,49708414.8,1754414.64,26316219.6
2013,"nicollet","SOUTH CENTRAL",1200,11300,NA,81,174,NA,52.1,NA,4074,4599,1267,2711,6643,8288,268330,6218,630540000,4108680,2115360,2318760,23328000,172800,172800,172800,120877920,895392,895392,895392,1429662240,16421796,579592.8,8693892
2013,"rice","SOUTH CENTRAL",4000,6800,NA,73,168.5,20.5,41.4,NA,2369,3910,3163,507,2489,5863,62285,1705,379440000,2472480,1272960,1395360,77760000,576000,576000,576000,33145200,245520,245520,245520,331854480,3811842,134535.6,2018034
2013,"steele","SOUTH CENTRAL",2000,3200,NA,84,157.4,17,44.5,NA,3696,8855,6905,788,4492,6355,167773,678,178560000,1163520,599040,656640,38880000,288000,288000,288000,13180320,97632,97632,97632,893894544,10267707.6,362389.68,5435845.2
2013,"waseca","SOUTH CENTRAL",1300,2400,NA,83,171.6,NA,48.4,NA,3686,8527,3487,751,9001,6887,243998,5523,133920000,872640,449280,492480,25272000,187200,187200,187200,107367120,795312,795312,795312,1300021344,14932677.6,527035.68,7905535.2
2013,"watonwan","SOUTH CENTRAL",800,300,NA,83,189.9,15.5,53.5,NA,4091,5851,5757,0,5287,7938,183618,3779,16740000,109080,56160,61560,15552000,115200,115200,115200,73463760,544176,544176,544176,978316704,11237421.6,396614.88,5949223.2
2013,"dakota","SOUTHEAST",2100,4600,NA,57,158,NA,38.8,NA,6033,6284,155,3665,3836,7700,32683,10614,256680000,1672560,861120,943920,40824000,302400,302400,302400,206336160,1528416,1528416,1528416,174135024,2000199.6,70595.28,1058929.2
2013,"dodge","SOUTHEAST",1700,5600,NA,88,164,19,47,NA,2600,9486,3834,720,4775,7450,163874,3934,312480000,2036160,1048320,1149120,33048000,244800,244800,244800,76476960,566496,566496,566496,873120672,10029088.8,353967.84,5309517.6
2013,"fillmore","SOUTHEAST",18500,12400,NA,68,171.9,NA,44.9,NA,9125,12123,2447,3846,2929,5966,136778,11749,691920000,4508640,2321280,2544480,359640000,2664000,2664000,2664000,228400560,1691856,1691856,1691856,728753184,8370813.6,295440.48,4431607.2
2013,"goodhue","SOUTHEAST",6100,17500,NA,70,181.5,NA,49.2,NA,13873,21926,2,8663,8173,6649,143804,11695,976500000,6363000,3276000,3591000,118584000,878400,878400,878400,227350800,1684080,1684080,1684080,766187712,8800804.8,310616.64,4659249.6
2013,"houston","SOUTHEAST",8600,9200,NA,45,153,NA,42,NA,4275,3110,140,1392,640,4585,22428,5126,513360000,3345120,1722240,1887840,167184000,1238400,1238400,1238400,99649440,738144,738144,738144,119496384,1372593.6,48444.48,726667.2
2013,"mower","SOUTHEAST",3200,4300,NA,84,154.5,NA,42,NA,1488,18312,5794,2276,9041,7704,330950,9512,239940000,1563480,804960,882360,62208000,460800,460800,460800,184913280,1369728,1369728,1369728,1763301600,20254140,714852,10722780
2013,"olmsted","SOUTHEAST",8600,9900,NA,71,175.3,NA,46.9,NA,7539,12575,2228,2881,2595,6005,45300,9052,552420000,3599640,1853280,2031480,167184000,1238400,1238400,1238400,175970880,1303488,1303488,1303488,241358400,2772360,97848,1467720
2013,"wabasha","SOUTHEAST",6600,20500,NA,60,174.1,21.5,47.7,NA,2576,5553,67,2496,2153,5003,8851,6849,1143900000,7453800,3837600,4206600,128304000,950400,950400,950400,133144560,986256,986256,986256,47158128,541681.2,19118.16,286772.4
2013,"winona","SOUTHEAST",8300,28500,NA,49,173.6,NA,48.3,NA,4443,4171,80,1551,1426,5709,36935,7881,1590300000,10362600,5335200,5848200,161352000,1195200,1195200,1195200,153206640,1134864,1134864,1134864,196789680,2260422,79779.6,1196694
2013,"cottonwood","SOUTHWEST",3300,800,NA,87,170.5,21,49.5,NA,10659,11914,2084,12609,5401,8079,235636,15004,44640000,290880,149760,164160,64152000,475200,475200,475200,291677760,2160576,2160576,2160576,1255468608,14420923.2,508973.76,7634606.4
2013,"jackson","SOUTHWEST",NA,500,NA,87,175.2,NA,47.1,NA,2748,8348,632,8228,5098,8357,245947,6247,27900000,181800,93600,102600,NA,NA,NA,NA,121441680,899568,899568,899568,1310405616,15051956.4,531245.52,7968682.8
2013,"lincoln","SOUTHWEST",6000,1900,NA,84,157.8,NA,44.2,NA,19934,8922,285,4910,704,5318,93371,7171,106020000,690840,355680,389880,116640000,864000,864000,864000,139404240,1032624,1032624,1032624,497480688,5714305.2,201681.36,3025220.4
2013,"lyon","SOUTHWEST",4100,2700,NA,84,150.1,NA,45.9,NA,9731,3114,90,5500,778,7006,158742,32155,150660000,981720,505440,554040,79704000,590400,590400,590400,625093200,4630320,4630320,4630320,845777376,9715010.4,342882.72,5143240.8
2013,"murray","SOUTHWEST",5500,3300,NA,86,176.2,NA,51.1,NA,12058,5398,113,11511,1604,7356,140599,20163,184140000,1199880,617760,677160,106920000,792000,792000,792000,391968720,2903472,2903472,2903472,749111472,8604658.8,303693.84,4555407.6
2013,"nobles","SOUTHWEST",3000,6100,NA,90,168.8,NA,48.5,NA,6269,10399,6482,972,4842,8000,323679,38434,340380000,2217960,1141920,1251720,58320000,432000,432000,432000,747156960,5534496,5534496,5534496,1724561712,19809154.8,699146.64,10487199.6
2013,"pipestone","SOUTHWEST",10000,4800,NA,83,165,NA,50.2,NA,8991,4734,1054,4116,254,6562,267097,18215,267840000,1745280,898560,984960,194400000,1440000,1440000,1440000,354099600,2622960,2622960,2622960,1423092816,16346336.4,576929.52,8653942.8
2013,"redwood","SOUTHWEST",5600,1200,NA,85,166.5,NA,48.4,29.7,15931,15390,31,21889,12566,8375,179776,15606,66960000,436320,224640,246240,108864000,806400,806400,806400,303380640,2247264,2247264,2247264,957846528,11002291.2,388316.16,5824742.4
2013,"rock","SOUTHWEST",7200,3000,NA,85,180.1,NA,52.7,NA,13000,8348,2457,6009,4197,9094,291435,36821,167400000,1090800,561600,615600,139968000,1036800,1036800,1036800,715800240,5302224,5302224,5302224,1552765680,17835822,629499.6,9442494
2013,"big stone","WEST CENTRAL",1700,400,NA,78,143.1,NA,39.1,NA,8138,2857,903,1845,1258,4168,41005,937,22320000,145440,74880,82080,33048000,244800,244800,244800,18215280,134928,134928,134928,218474640,2509506,88570.8,1328562
2013,"chippewa","WEST CENTRAL",NA,NA,NA,87,175.6,NA,49.5,27.8,13758,6818,1787,9264,4595,6388,50200,3710,NA,NA,NA,NA,NA,NA,NA,NA,72122400,534240,534240,534240,267465600,3072240,108432,1626480
2013,"douglas","WEST CENTRAL",3300,5800,NA,67,141,NA,32.3,NA,4618,3140,274,2217,1565,2963,1198,6851,323640000,2108880,1085760,1190160,64152000,475200,475200,475200,133183440,986544,986544,986544,6382944,73317.6,2587.68,38815.2
2013,"grant","WEST CENTRAL",NA,1500,NA,81,160.3,NA,38.9,24.8,22736,10267,1530,10592,5206,3829,23320,1478,83700000,545400,280800,307800,NA,NA,NA,NA,28732320,212832,212832,212832,124248960,1427184,50371.2,755568
2013,"lac qui parle","WEST CENTRAL",5900,400,NA,82,169.7,NA,47.9,NA,11714,8385,1709,7643,3571,5117,97508,4507,22320000,145440,74880,82080,114696000,849600,849600,849600,87616080,649008,649008,649008,519522624,5967489.6,210617.28,3159259.2
2013,"otter tail","WEST CENTRAL",18400,16700,NA,56,140.2,13.5,32.9,25.5,11735,7496,263,6296,3197,2417,35547,8092,931860000,6072120,3126240,3426840,357696000,2649600,2649600,2649600,157308480,1165248,1165248,1165248,189394416,2175476.4,76781.52,1151722.8
2013,"pope","WEST CENTRAL",4700,4900,NA,65,150.9,NA,37.9,27.5,4648,5292,364,3396,2859,3656,76913,3674,273420000,1781640,917280,1005480,91368000,676800,676800,676800,71422560,529056,529056,529056,409792464,4707075.6,166132.08,2491981.2
2013,"stevens","WEST CENTRAL",1800,21500,NA,83,158.7,19.5,41.9,27.4,10629,5555,1734,8765,6237,4456,186865,11844,1199700000,7817400,4024800,4411800,34992000,259200,259200,259200,230247360,1705536,1705536,1705536,995616720,11436138,403628.4,6054426
2013,"swift","WEST CENTRAL",2600,2900,NA,77,163.3,NA,38.5,28.2,10286,11323,5177,9689,8113,5161,13116,3871,161820000,1054440,542880,595080,50544000,374400,374400,374400,75252240,557424,557424,557424,69882048,802699.2,28330.56,424958.4
2013,"traverse","WEST CENTRAL",NA,NA,NA,87,145.8,NA,37.3,23.1,12061,2381,743,5076,11,4332,16966,1863,NA,NA,NA,NA,NA,NA,NA,NA,36216720,268272,268272,268272,90394848,1038319.2,36646.56,549698.4
2013,"wilkin","WEST CENTRAL",600,900,NA,84,133.9,NA,32.2,25.3,18132,3935,3732,5866,737,3891,48,238,50220000,327240,168480,184680,11664000,86400,86400,86400,4626720,34272,34272,34272,255744,2937.6,103.68,1555.2
2013,"yellow medicine","WEST CENTRAL",3800,1600,NA,84,171.7,NA,48.8,27,19301,12246,1377,14444,7944,6624,120257,10879,89280000,581760,299520,328320,73872000,547200,547200,547200,211487760,1566576,1566576,1566576,640729296,7359728.4,259755.12,3896326.8
2014,"benton","CENTRAL",4300,11100,NA,57,90.3,NA,27,NA,3,28,0,0,535,3279,23865,4359,619380000,4035960,2077920,2277720,83592000,619200,619200,619200,84738960,627696,627696,627696,127152720,1460538,51548.4,773226
2014,"carver","CENTRAL",1400,8000,NA,78,123.4,NA,34.3,NA,4044,3881,0,2621,2879,8178,29567,2941,446400000,2908800,1497600,1641600,27216000,201600,201600,201600,57173040,423504,423504,423504,157532976,1809500.4,63864.72,957970.8
2014,"kandiyohi","CENTRAL",2500,8100,NA,77,150.3,NA,41.2,22.1,9358,4443,435,9349,5951,6242,86583,2493,451980000,2945160,1516320,1662120,48600000,360000,360000,360000,48463920,358992,358992,358992,461314224,5298879.6,187019.28,2805289.2
2014,"mcleod","CENTRAL",1900,7900,NA,83,128.6,NA,32.6,20.2,6050,5785,479,5644,3063,7399,9308,6055,440820000,2872440,1478880,1621080,36936000,273600,273600,273600,117709200,871920,871920,871920,49593024,569649.6,20105.28,301579.2
